Category,Type,Difficulty,Question,Correct_Answer,Incorrect_Answer1,Incorrect_Answer2,Incorrect_Answer3,Verified
Science,Multiple Choice,Medium,What is the study of fish called?,Ichthyology,Entomology,Agrostology,Ornithology,True
Science,Multiple Choice,Medium,What is eremology?,The study of deserts,The study of the atmosphere,The study of birds,The study of hair,True
Science,Multiple Choice,Medium,How many oxygen atoms are in 5 water molecules?,5,10,0,20,True
Geography,Multiple Choice,Medium,What is the capital of the state of New York?,Albany,Buffalo,New York City,Manhattan,True
Geography,Multiple Choice,Medium,"In what state will you find the cities of Laramie, Cody and Sheridan?",Wyoming,South Dakota,Arkansas,West Virginia,True
Geography,Multiple Choice,Medium,"If you are visiting Carlsbad Caverns National Park, what state are you in?",New Mexico,California,Texas,Utah,True
Geography,Multiple Choice,Medium,In what country will you find the massive landmark known as Uluru?,Australia,South Africa,Namibia,Indonesia,True
Geography,Multiple Choice,Medium,What is the tallest mountain in Europe?,Mount Elbrus,Mount Denali,K2,Mont Blanc,True
Geography,Multiple Choice,Medium,What was the name of Earth's former supercontinent before breaking up nearly 175 million years ago?,Pangaea,Cimmeria,Columbia,Maneria,True
Geography,Multiple Choice,Medium,What is the capital of New Zealand?,Wellington,Auckland,Melbourne,Christchurch,True
Geography,Multiple Choice,Medium,How many countries does the Principality of Andorra share a border with?,2,1,0,4,True
Geography,Multiple Choice,Medium,In what country will you find the Nile River delta?,Egypt,Uganda,Congo,Sudan,True
Geography,Multiple Choice,Medium,In which two countries is Mount Everest located?,China and Nepal,India and Pakistan,Iran and Pakistan,Bangladesh and Myanmar,True
